SMILES,res_fitness
CCCNc1ccc(-c2cccc(-c3ccc(N)c(Oc4cc(-c5cccc(N)c5-c5ccccc5)ccc4N)c3)c2NCc2cc(N)cc(C)c2Oc2c3cccc2-3)c(-c2ccccc2-c2c(N)cccc2N)c1N,498.3337357903975
CC#CCc1cc(N)ccc1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4ccc(-c5ccc(N)cc5)cc4N)cc(N)cc12)-c1c(N)ccc-3c1Nc1ccccc1NOc1cccc(-c2ccccc2)c1N,498.07822643907923
C#CCc1cc(N)cc(C)c1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4ccc(-c5ccc(N)cc5)cc4N)cc(N)cc12)-c1c(N)ccc-3c1Nc1ccccc1NOc1cccc(-c2ccccc2)c1N,497.63677675608335
NNc1ccc(NCc2c(ONc3cccc(N)c3-c3ccccc3N)ccc(N)c2Nc2ccc3c(c2)-c2ccc(N)c-3c2)c(-c2c3cc(N)c(Oc4cccc(-c5cccc(N)c5-c5ccccc5)c4)c2-3)c1,497.54735011672517
C#CCc1cc(N)ccc1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4ccc(-c5ccc(N)cc5)cc4N)cc(N)cc12)-c1c(N)ccc-3c1Nc1ccccc1NOc1cccc2c1Oc1cccc-2c1N,497.48363603362185
CNNc1ccc(-c2c(N)cccc2-c2ccc(N)c(Oc3c(N)cc4c(-c5c6c(N)cc(c5NCc5cc(N)ccc5ONc5cccc(N)c5-c5ccccc5N)-c5cccc(c5)N6)c3-4)c2)cc1c1ccccc1,497.27536827239004
C#CCCNc1ccc(-c2cc(N)cc(-c3c4cc(N)c(Oc5cc(-c6cccc(N)c6-c6ccc(N)cc6)ccc5N)c3-4)c2NCc2cc(N)ccc2ONc2cccc(N)c2-c2ccccc2N)cc1NN,496.8973644459889
CCCc1cc(N)ccc1Oc1cccc(-c2cccc(-c3c(N)cc(-c4ccc(N)cc4)cc3-c3ccc(O)c(O)c3-c3ccccc3)c2Nc2cccc3c2[nH]c2cc(N)cc(Nc4cccc5c4N5)c23)c1N,496.7860222123423
CCNc1ccc(N)cc1-c1c2cc(N)c(Oc3cc(-c4cccc(N)c4-c4ccccc4)ccc3Nc3c4ccc(N)c3-c3ccc(Nc5cc(ONc6cccc(N)c6-c6ccccc6N)ccc5N)cc3-4)c1-2,496.3156072265117
CCCNc1ccc(-c2cccc(-c3ccc(N)c(Oc4cc(-c5cccc(N)c5-c5ccc(N)cc5)ccc4N)c3)c2NCc2cccc(C)c2Oc2c3cccc2-3)c(-c2ccccc2-c2c(N)cccc2N)c1N,495.8628040360989
